,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
0,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.0,0.2,0.0
1,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.1,0.2,0.0
2,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.2,0.2,0.0
3,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.3,0.2,0.0
4,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.4,0.2,0.0
5,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.5,0.2,0.0
6,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.6,0.2,0.0
7,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.7,0.2,0.0
8,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.8,0.2,0.0
9,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.9,0.2,0.0
10,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,1.0,0.2,0.0
11,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.0,0.3,0.0
12,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.1,0.3,0.0
13,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.2,0.3,0.0
14,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.3,0.3,0.0
15,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.4,0.3,0.0
16,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.5,0.3,0.0
17,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.6,0.3,0.0
18,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.7,0.3,0.0
19,ais(0.89819),inf,inf,,,-63.0,50.0,20.0,0.8,0.3,0.0
20,ais(0.89819),9.146881103515625,9.146881103515625,,-61.65116282186284,-63.0,50.0,20.0,0.9,0.3,0.0
21,ais(0.89819),8.11248779296875,8.11248779296875,,-60.75565170918579,-63.0,50.0,20.0,1.0,0.3,0.0
22,ais(0.89819),18.381500244140625,18.381500244140625,,-62.66045676270069,-63.0,50.0,20.0,0.0,0.4,0.0
23,ais(0.89819),16.464385986328125,16.464385986328125,,-62.636981190333735,-63.0,50.0,20.0,0.1,0.4,0.0
24,ais(0.89819),14.4964599609375,14.4964599609375,,-62.71048482818943,-63.0,50.0,20.0,0.2,0.4,0.0
25,ais(0.89819),12.537078857421875,12.537078857421875,,-62.19476140955699,-63.0,50.0,20.0,0.3,0.4,0.0
26,ais(0.89819),10.666656494140625,10.666656494140625,,-62.228262458618104,-63.0,50.0,20.0,0.4,0.4,0.0
27,ais(0.89819),8.927764892578125,8.927764892578125,,-62.98259359828608,-63.0,50.0,20.0,0.5,0.4,0.0
28,ais(0.89819),7.3516845703125,7.3516845703125,,-62.240633594700526,-63.0,50.0,20.0,0.6,0.4,0.0
29,ais(0.89819),5.9423828125,5.9423828125,,-61.66696977331834,-63.0,50.0,20.0,0.7,0.4,0.0
30,ais(0.89819),4.69085693359375,4.69085693359375,,-61.5792351729282,-63.0,50.0,20.0,0.8,0.4,0.0
31,ais(0.89819),3.584747314453125,3.584747314453125,,-61.39838519825764,-63.0,50.0,20.0,0.9,0.4,0.0
32,ais(0.89819),2.618560791015625,2.618560791015625,,-61.742894450334646,-63.0,50.0,20.0,1.0,0.4,0.0
33,ais(0.89819),inf,inf,,-61.742894450334646,-63.0,50.0,20.0,0.0,0.5,0.0
34,ais(0.89819),inf,inf,,-61.742894450334646,-63.0,50.0,20.0,0.1,0.5,0.0
35,ais(0.89819),inf,inf,,-61.742894450334646,-63.0,50.0,20.0,0.2,0.5,0.0
36,ais(0.89819),inf,inf,,-61.742894450334646,-63.0,50.0,20.0,0.3,0.5,0.0
37,ais(0.89819),9.161224365234375,9.161224365234375,,-62.37274255965833,-63.0,50.0,20.0,0.4,0.5,0.0
38,ais(0.89819),7.282867431640625,7.282867431640625,,-62.574952996538045,-63.0,50.0,20.0,0.5,0.5,0.0
39,ais(0.89819),5.631103515625,5.631103515625,,-62.365690487143816,-63.0,50.0,20.0,0.6,0.5,0.0
40,ais(0.89819),4.1845703125,4.1845703125,,-61.63072981926151,-63.0,50.0,20.0,0.7,0.5,0.0
41,ais(0.89819),2.929534912109375,2.929534912109375,,-61.88966642573943,-63.0,50.0,20.0,0.8,0.5,0.0
42,ais(0.89819),1.870574951171875,1.870574951171875,,-61.658755244823745,-63.0,50.0,20.0,0.9,0.5,0.0
43,ais(0.89819),1.10931396484375,1.10931396484375,,-61.39370331309892,-63.0,50.0,20.0,1.0,0.5,0.0
44,ais(0.89819),inf,inf,,-61.39370331309892,-63.0,50.0,20.0,0.0,0.6,0.0
45,ais(0.89819),inf,inf,,-61.39370331309892,-63.0,50.0,20.0,0.1,0.6,0.0
46,ais(0.89819),inf,inf,,-61.39370331309892,-63.0,50.0,20.0,0.2,0.6,0.0
47,ais(0.89819),inf,inf,,-61.39370331309892,-63.0,50.0,20.0,0.3,0.6,0.0
48,ais(0.89819),8.627471923828125,8.627471923828125,,-62.31924439664544,-63.0,50.0,20.0,0.4,0.6,0.0
49,ais(0.89819),6.69464111328125,6.69464111328125,,-62.6201895418352,-63.0,50.0,20.0,0.5,0.6,0.0
50,ais(0.89819),4.9981689453125,4.9981689453125,,-62.309932991223114,-63.0,50.0,20.0,0.6,0.6,0.0
51,ais(0.89819),3.51776123046875,3.51776123046875,,-61.63259790410939,-63.0,50.0,20.0,0.7,0.6,0.0
52,ais(0.89819),2.255859375,2.255859375,,-61.61668613239639,-63.0,50.0,20.0,0.8,0.6,0.0
53,ais(0.89819),1.298370361328125,1.298370361328125,,-62.674083035648124,-63.0,50.0,20.0,0.9,0.6,0.0
54,ais(0.89819),0.49468994140625,0.49468994140625,,-60.68848770777492,-63.0,50.0,20.0,1.0,0.6,0.0
55,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.0,0.7,0.0
56,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.1,0.7,0.0
57,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.2,0.7,0.0
58,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.3,0.7,0.0
59,ais(0.89819),8.47412109375,8.47412109375,,-62.30805951226829,-63.0,50.0,20.0,0.4,0.7,0.0
60,ais(0.89819),6.512451171875,6.512451171875,,-62.75614479114416,-63.0,50.0,20.0,0.5,0.7,0.0
61,ais(0.89819),4.786834716796875,4.786834716796875,,-62.55176006493538,-63.0,50.0,20.0,0.6,0.7,0.0
