,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
0,soma(0.318182),4.00054931640625,4.00054931640625,,-62.40935735900384,-63.0,50.0,20.0,0.0,0.2,0.0
1,soma(0.318182),3.97705078125,3.97705078125,,-62.50639071387955,-63.0,50.0,20.0,0.1,0.2,0.0
2,soma(0.318182),3.952178955078125,3.952178955078125,,-62.51519308049215,-63.0,50.0,20.0,0.2,0.2,0.0
3,soma(0.318182),3.926239013671875,3.926239013671875,,-62.5557906594942,-63.0,50.0,20.0,0.3,0.2,0.0
4,soma(0.318182),3.899383544921875,3.899383544921875,,-62.60497955143238,-63.0,50.0,20.0,0.4,0.2,0.0
5,soma(0.318182),3.87176513671875,3.87176513671875,,-62.65130232463702,-63.0,50.0,20.0,0.5,0.2,0.0
6,soma(0.318182),3.843536376953125,3.843536376953125,,-62.709817881833686,-63.0,50.0,20.0,0.6,0.2,0.0
7,soma(0.318182),3.814697265625,3.814697265625,,-62.62061773566666,-63.0,50.0,20.0,0.7,0.2,0.0
8,soma(0.318182),3.785552978515625,3.785552978515625,,-62.56278989557995,-63.0,50.0,20.0,0.8,0.2,0.0
9,soma(0.318182),3.756256103515625,3.756256103515625,,-62.705369931809294,-63.0,50.0,20.0,0.9,0.2,0.0
10,soma(0.318182),3.726654052734375,3.726654052734375,,-62.56077525398097,-63.0,50.0,20.0,1.0,0.2,0.0
11,soma(0.318182),4.00054931640625,4.00054931640625,,-62.4089208151534,-63.0,50.0,20.0,0.0,0.3,0.0
12,soma(0.318182),3.995513916015625,3.995513916015625,,-62.551310800423884,-63.0,50.0,20.0,0.1,0.3,0.0
13,soma(0.318182),3.9886474609375,3.9886474609375,,-62.53792522078306,-63.0,50.0,20.0,0.2,0.3,0.0
14,soma(0.318182),3.98040771484375,3.98040771484375,,-62.68996954883256,-63.0,50.0,20.0,0.3,0.3,0.0
15,soma(0.318182),3.970489501953125,3.970489501953125,,-62.62329957840688,-63.0,50.0,20.0,0.4,0.3,0.0
16,soma(0.318182),3.9593505859375,3.9593505859375,,-62.67408767978355,-63.0,50.0,20.0,0.5,0.3,0.0
17,soma(0.318182),3.946990966796875,3.946990966796875,,-62.7633239264121,-63.0,50.0,20.0,0.6,0.3,0.0
18,soma(0.318182),3.933563232421875,3.933563232421875,,-62.88785681230174,-63.0,50.0,20.0,0.7,0.3,0.0
19,soma(0.318182),3.918914794921875,3.918914794921875,,-62.847534472841005,-63.0,50.0,20.0,0.8,0.3,0.0
20,soma(0.318182),3.90350341796875,3.90350341796875,,-62.963908823419885,-63.0,50.0,20.0,0.9,0.3,0.0
21,soma(0.318182),3.8873291015625,3.8873291015625,,-60.43622515072869,-63.0,50.0,20.0,1.0,0.3,0.0
22,soma(0.318182),4.00054931640625,4.00054931640625,,-62.408639373121204,-63.0,50.0,20.0,0.0,0.4,0.0
23,soma(0.318182),4.01397705078125,4.01397705078125,,-62.39832403871692,-63.0,50.0,20.0,0.1,0.4,0.0
24,soma(0.318182),4.026031494140625,4.026031494140625,,-62.591288446424215,-63.0,50.0,20.0,0.2,0.4,0.0
25,soma(0.318182),4.03656005859375,4.03656005859375,,-62.65213770827682,-63.0,50.0,20.0,0.3,0.4,0.0
