,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
0,ais(0.89819),0.5364990234375,,0.5364990234375,-62.12780457749933,-63.0,50.0,20.0,0.0,0.2,0.0
1,ais(0.89819),0.5302047729492188,,0.5302047729492188,-62.29970993062706,-63.0,50.0,20.0,0.1,0.2,0.0
2,ais(0.89819),0.5240249633789062,,0.5240249633789062,-62.463605129161756,-63.0,50.0,20.0,0.2,0.2,0.0
3,ais(0.89819),0.5179595947265625,,0.5179595947265625,-62.618011979731975,-63.0,50.0,20.0,0.3,0.2,0.0
4,ais(0.89819),0.5120086669921875,,0.5120086669921875,-62.76379437035012,-63.0,50.0,20.0,0.4,0.2,0.0
5,ais(0.89819),0.50628662109375,,0.50628662109375,-62.998407567180436,-63.0,50.0,20.0,0.5,0.2,0.0
6,ais(0.89819),0.5005645751953125,,0.5005645751953125,-63.190717762144715,-63.0,50.0,20.0,0.6,0.2,0.0
7,ais(0.89819),0.49495697021484375,,0.49495697021484375,-63.413964529522254,-63.0,50.0,20.0,0.7,0.2,0.0
8,ais(0.89819),0.48946380615234375,,0.48946380615234375,-63.694634999154154,-63.0,50.0,20.0,0.8,0.2,0.0
9,ais(0.89819),0.4840850830078125,,0.4840850830078125,-64.09534402149748,-63.0,50.0,20.0,0.9,0.2,0.0
10,ais(0.89819),0.47893524169921875,,0.47893524169921875,-64.61323956617358,-63.0,50.0,20.0,1.0,0.2,0.0
11,ais(0.89819),0.5364990234375,,0.5364990234375,-62.127787928475875,-63.0,50.0,20.0,0.0,0.3,0.0
12,ais(0.89819),0.5303192138671875,,0.5303192138671875,-62.04555832861426,-63.0,50.0,20.0,0.1,0.3,0.0
13,ais(0.89819),0.5243682861328125,,0.5243682861328125,-62.03862396274302,-63.0,50.0,20.0,0.2,0.3,0.0
14,ais(0.89819),0.5184173583984375,,0.5184173583984375,-61.95502781346266,-63.0,50.0,20.0,0.3,0.3,0.0
15,ais(0.89819),0.5126953125,,0.5126953125,-61.91739719811064,-63.0,50.0,20.0,0.4,0.3,0.0
